index,content
遗精的定义,是指不因性生活而精液频繁遗泄的病证。因梦而遗称“梦遗”，多因相火妄动，其证属实；无梦或清醒时精液自行流出为“滑精”，多为肾虚精关不固，其证属虚。青壮年偶有遗精，过后无其他症状者，多属精满自溢现象，不需治疗。
遗精病因,其发生常与情欲妄动、沉溺房事、饮食不节、劳伤过度等因素有关。
遗精病位,病位在肾，与心、肝、脾关系密切。
遗精基本病机,是肾失封藏，精关不固。 
遗精可见于哪里,遗精可见于西医学的神经衰弱、前列腺炎、精囊炎及睾丸炎等疾病中。 
遗精辨证,遗精有心肾不交证、湿热下注证、肾气亏虚证、阴虚火旺证。
遗精心肾不交证表现,主症每周两次以上，或一日数次，在睡梦中发生遗泄，或在清醒时精 自滑出。兼见少寐多梦，梦则遗精，小便短赤，精神不振，体倦乏力，善恐健忘，头晕目眩，心中烦热，心悸，口干，舌红，脉细数。
遗精湿热下注证表现,小便热赤混浊，或尿涩不爽，口苦或渴，心烦少寐，口舌生疮，大便臭溏，后重不爽，苔黄腻，脉濡数。
遗精肾气亏损证表现,头晕目眩，面色少华，耳鸣健忘，失眠，畏寒肢冷，舌淡，苔薄，脉沉细。
遗精阴虚火旺证表现,夜寐不宁，心中烦热，尿少色黄，舌边尖红，苔少，脉细数。
遗精治疗,包括基本治疗和其他治疗。
遗精基本治疗,治法为益肾固摄。以任脉及足太阴、足太阳经穴为主。主穴选关元、三阴交、志室、肾俞、次髎。配穴按照证型，心肾不交配心俞、太溪、神门；湿热下注配中极、阴陵泉；肾气亏损配气海、命门；阴虚火旺配神门、太溪、太冲。 
遗精如何选穴,以任脉及足太阴、足太阳经穴为主。主穴选关元、三阴交、志室、肾俞、次髎。配穴按照证型，心肾不交配心俞、太溪、神门；湿热下注配中极、阴陵泉；肾气亏损配气海、命门；阴虚火旺配神门、太溪、太冲。 
遗精针灸治疗主穴选哪些,主穴选关元、三阴交、志室、肾俞、次髎。
遗精针灸治疗配穴选哪些,配穴按照证型，心肾不交配心俞、太溪、神门；湿热下注配中极、阴陵泉；肾气亏损配气海、命门；阴虚火旺配神门、太溪、太冲。 
遗精心肾不交针灸治疗配穴选什么,心肾不交配心俞、太溪、神门
遗精湿热下注针灸治疗配穴选什么,湿热下注配中极、阴陵泉
遗精肾气亏损针灸治疗配穴选什么,肾气亏损配气海、命门
遗精阴虚火旺针灸治疗配穴选什么,阴虚火旺配神门、太溪、太冲
遗精针灸主穴方义,关元为足三阴经与任脉交会穴，是人体元气的根本，用以振奋肾气；三阴交乃足三阴经之交会穴，健脾补肝益肾；志室又名精宫，配肾俞固精收涩；次髎清利下焦。 
治疗遗精选择哪些主穴，原因是,关元为足三阴经与任脉交会穴，是人体元气的根本，用以振奋肾气；三阴交乃足三阴经之交会穴，健脾补肝益肾；志室又名精宫，配肾俞固精收涩；次髎清利下焦。 
遗精针灸治疗操作,毫针刺，按虚补实泻法操作。
遗精针灸其他治疗,包括耳针法、穴位注射法、皮肤针法
遗精耳针法操作,内生殖器、肾、心、神门、内分泌、皮质下。每次选3～5 穴，毫针刺，轻刺激。可用埋针法或压丸法。
遗精穴位注射法操作,关元、中极。用胎盘注射液，或当归注射液，或维生素B1、B12注射液，每次每穴注射0.5～1mL，隔日1次。
遗精皮肤针法操作,小腹任脉、肾经等，腰骶部第2腰椎至第5骶椎夹脊及三阴交穴区域，皮肤针叩刺，每次20分钟，使皮肤微现红晕为度。每日或隔日1次。 
针灸治疗遗精效果,针灸治疗遗精效果较好。由于某些器质性疾病引起者，须同时治疗原发病。针灸治疗的同时，应指导患者消除心理负担，克服诱发遗精因素，如手淫、读淫秽刊物等，坚持适当的体育锻炼。
遗精除了针灸治疗需要配合什么,针灸治疗的同时，应指导患者消除心理负担，克服诱发遗精因素，如手淫、读淫秽刊物等，坚持适当的体育锻炼。
 ,
乳少的定义,乳少是指产后哺乳期内产妇乳汁甚少或全无，又称“产后乳少”“乳汁不 足”“乳汁不行”等。
乳少病因,其发生常与素体亏虚或形体肥胖、分娩失血过多及产后情志不畅、操劳过度、缺乏营养等因素有关。
乳少的病位,本病病位在乳房，足厥阴肝经至乳下，足阳明胃经过乳房，足太阴脾经行乳外，故本病与肝、胃、脾关系密切。
乳少与什么脏腑最相关,与肝、胃、脾关系密切。
乳少的病机,本病分虚、实两端，基本病机为气血不足，乳汁无以化生，或气机不畅，乳络不通。
西医学什么疾病可以按乳少治疗,产后缺乳、泌乳过少均可参照本病施治。 
乳少辨证,气血不足证、肝气郁结证、痰浊阻络证。
乳少气血不足证表现,主症产后乳汁分泌量少，甚或乳汁全无。兼见乳汁清稀，乳房柔软无胀感，面色苍白，唇甲无华，神疲乏力，食少便溏，舌淡，苔薄白，脉虚细。
乳少肝气郁结证表现,乳房胀满疼痛，情志抑 郁不乐，胸胁胀闷，脘痞食少，舌红，苔薄黄，脉弦。
乳少痰浊阻络证表现,乳房硕大，形体肥胖，食多膏粱，舌淡胖，苔腻，脉滑。
乳少治疗,包括基本治疗和其他治疗。
乳少的基本治疗,治法以调理气血，疏通乳络。以任脉及足阳明经穴为主。主穴选膻中、肩井、乳根、少泽。配穴按证型选择。气血不足配气海、足三里；肝气郁结配太冲、期门；痰浊阻络配 丰隆、中脘。 
乳少治法,调理气血，疏通乳络。
乳少针灸治疗选穴,以任脉及足阳明经穴为主。主穴选膻中、肩井、乳根、少泽。配穴按证型选择。气血不足配气海、足三里；肝气郁结配太冲、期门；痰浊阻络配 丰隆、中脘。
乳少针灸治疗主穴,主穴选膻中、肩井、乳根、少泽。
乳少针灸治疗配穴,配穴按证型选择。气血不足配气海、足三里；肝气郁结配太冲、期门；痰浊阻络配 丰隆、中脘。
乳少气血不足证配穴,配气海、足三里
乳少肝气郁结证配穴,配太冲、期门
乳少痰浊阻络证配穴,配丰隆、中脘
乳少选穴方义,膻中、肩井善于调理气机而疏通乳络；乳根位于乳房局部，可催 生乳汁；少泽为生乳、通乳之经验效穴。 
乳少选穴的原理,膻中、肩井善于调理气机而疏通乳络；乳根位于乳房局部，可催 生乳汁；少泽为生乳、通乳之经验效穴。 
乳少针灸操作注意,常规针刺。 
乳少针灸其他治疗,包括皮肤针法、耳针法。
乳少皮肤针法操作,背部从肺俞至三焦俞及乳房周围。叩刺强度根据证候的虚实决定，一般多用轻刺激或中等刺激。背部从上而下每隔2cm叩打一处，并可沿肋间向左右两侧斜行叩刺，乳房周围做放射状叩刺，乳晕部 做环形叩刺，每次叩刺10分钟，每日1次。
乳少皮肤针法操作注意,叩刺强度根据证候的虚实决定，一般多用轻刺激或中等刺激。背部从上而下每隔2cm叩打一处，并可沿肋间向左右两侧斜行叩刺，乳房周围做放射状叩刺，乳晕部 做环形叩刺，每次叩刺10分钟，每日1次。
乳少耳针法操作,内分泌、交感、皮质下、胸、肝、脾、肾。每次选2～3 穴，毫针用中等刺激。可用埋针法或压丸法。 
乳少针灸治疗效果,针灸治疗乳少效果极好，一般一次见效，发病时间越短，疗效越好。临床上对乳痈早期郁乳期，仍有较好的疗效。
乳母需注意,营养充足和适度的调养，纠正不当的哺乳方法。哺乳期应心情舒畅，避免过度疲劳，保证充足睡眠。
乳少的现代研究,一方面，对于垂体前叶催乳素分泌减少而致乳少，针灸可调节下丘脑-垂体轴的功能，使缩宫素、催乳素分泌增多，有利于乳汁的分泌，并且通过调节雌激素及孕激素的分泌，使之相应减少，以 减少该激素所产生的抑制乳汁分泌的作用；另一方面，对于乳汁淤积而致乳少，针灸可缓解乳腺导管痉挛，促进排乳。
